224823.317580,-0.006790
224823.342562,0.053485
224823.352555,0.022864
224823.362547,0.014042
224823.372534,0.005957
224823.382531,0.007321
224823.392523,0.008007
224823.402518,-0.026447
224823.412512,-0.104674
224823.422504,-0.132206
224823.432495,-0.147107
224823.442486,-0.132343
224823.452478,-0.069804
224823.462473,-0.039184
224823.472466,-0.024465
224823.482458,0.009724
224823.492450,0.003391
224823.502443,0.009226
224823.512435,-0.154915
224823.522429,-0.166140
224823.532429,-0.107818
224823.542421,0.069321
224823.552406,0.205298
224823.562399,0.193771
224823.572391,0.132660
224823.582383,0.079704
224823.592365,0.027823
224823.602357,-0.003607
224823.612361,-0.018700
224823.622364,-0.028143
224823.632356,-0.042332
224823.642331,-0.060661
224823.652320,-0.072723
224823.662312,-0.077384
224823.672300,-0.059848
224823.682310,-0.031320
224823.692302,-0.026936
224823.702301,-0.024269
224823.712287,-0.021069
224823.722279,-0.034654
224823.732273,-0.010017
224823.742265,0.006304
224823.752257,-0.026020
224823.762250,-0.029161
224823.772243,-0.027890
224823.782235,-0.019244
224823.792227,-0.014735
224823.802221,-0.022950
224823.812213,-0.022867
224823.822204,0.007802
224823.832198,0.009388
224823.842190,0.024121
224823.852195,0.015183
224823.862176,0.022011
224823.872168,0.032492
224823.882159,0.022626
224823.892153,0.007912
224823.902145,-0.008051
224823.912123,-0.008554
224823.922131,-0.000209
224823.932123,-0.004417
224823.942116,-0.004150
224823.952094,-0.008356
224823.962086,-0.006090
224823.972094,0.009300
224823.982087,0.005658
224823.992079,-0.005153
224824.002072,-0.029152
224824.012065,-0.036874
224824.022057,-0.040472
224824.032053,-0.034710
224824.042043,-0.027376
224824.052035,-0.018988
224824.062027,-0.004112
224824.072020,0.041520
224824.082012,0.060764
224824.092006,0.065412
224824.101997,0.059155
224824.111989,0.012686
224824.121983,-0.130395
224824.131976,-0.024774
224824.141968,-0.005674
224824.151961,0.003094
224824.161953,0.012919
224824.171945,0.000430
224824.181939,-0.019844
224824.191930,-0.039049
224824.201922,-0.039002
224824.211916,-0.035853
224824.221915,-0.019548
224824.231907,-0.002606
224824.241894,0.004757
224824.251877,0.033631
224824.261869,0.075703
224824.271872,0.091263
224824.281871,0.012853
224824.291863,-0.003052
224824.301849,0.041461
224824.311842,0.055234
224824.321834,0.056230
224824.331827,0.068326
224824.341820,0.018552
224824.351812,-0.022379
224824.361805,-0.037473
224824.371798,-0.040529
224824.381790,-0.022602
224824.391782,-0.000429
224824.401775,-0.000294
224824.411767,-0.020074
224824.421760,-0.050461
224824.431753,-0.051166
224824.441745,-0.027637
224824.451737,-0.058053
224824.461732,-0.118916
224824.471724,-0.115512
224824.481715,-0.118936
224824.491709,0.051641
224824.501701,0.081102
224824.511693,0.092269
224824.521687,0.051616
224824.531679,0.017270
224824.541665,0.021451
224824.551664,0.043882
224824.561656,0.057407
224824.571643,0.038877
224824.581643,0.024908
224824.591635,0.017617
224824.601626,0.017541
224824.611620,0.009657
224824.621612,0.016785
224824.631590,0.004280
224824.641598,-0.013788
224824.651590,-0.020867
224824.661595,-0.027084
224824.671576,-0.014650
224824.681568,-0.002515
224824.691548,-0.050508
224824.701553,0.019316
224824.711545,0.023215
